,firsts,lasts,lifespans,mentions
ܐܐܘܠܝܣ,950.0,950.0,0.0,1
ܐܐܘܪܛܘܣ,950.0,950.0,0.0,1
ܐܐܛܘܣ,950.0,950.0,0.0,1
ܐܐܛܝܘܣ,500.0,950.0,450.0,4
ܐܐܛܝܢܐ,350.0,350.0,0.0,2
ܐܐܝ,400.0,1375.0,975.0,27
ܐܐܝܘܣ,950.0,975.0,25.0,4
ܐܐܝܙܘܐܘܢ,950.0,1250.0,300.0,5
ܐܐܝܪ,325.0,950.0,625.0,5
ܐܐܝܪܐ,950.0,950.0,0.0,2
ܐܐܣ,450.0,675.0,225.0,4
ܐܐܪ,125.0,1994.0,1869.0,2319
ܐܐܪܐ,500.0,850.0,350.0,5
ܐܐܪܘܢ,950.0,950.0,0.0,2
ܐܐܪܛܘܣ,950.0,950.0,0.0,1
ܐܐܪܝܐ,350.0,1500.0,1150.0,45
ܐܒܐܠܛܪܘܣ,950.0,950.0,0.0,1
ܐܒܕܘܡܕܐ,950.0,950.0,0.0,1
ܐܒܘܠܘܢ,950.0,950.0,0.0,1
ܐܒܘܠܘܣ,675.0,950.0,275.0,2
ܐܒܘܪܕ,775.0,775.0,0.0,1
ܐܒܛܘܣ,500.0,500.0,0.0,1
ܐܒܝܣܛܛܐ,950.0,950.0,0.0,1
ܐܒܠܝܐ,950.0,950.0,0.0,3
ܐܒܢܘܣ,950.0,950.0,0.0,1
ܐܒܪܘܙܘܢ,950.0,950.0,0.0,2
ܐܒܪܘܛܘܢܘܢ,950.0,1250.0,300.0,4
ܐܒܪܘܣܝܘܣ,1222.0,1222.0,0.0,1
ܐܒܪܙܘܢ,1222.0,1222.0,0.0,1
ܐܓܐܐ,500.0,950.0,450.0,3
ܐܓܐܠܠܝܐܣܐܘܡܗ,950.0,950.0,0.0,1
ܐܓܐܦܝ,675.0,675.0,0.0,6
ܐܓܐܪܝܐ,950.0,950.0,0.0,2
ܐܓܐܪܝܩܘܢ,950.0,950.0,0.0,1
ܐܓܓܗܠܘܣ,950.0,950.0,0.0,1
ܐܓܘܓ,350.0,1234.0,884.0,54
ܐܓܘܓܐ,350.0,1500.0,1150.0,30
ܐܓܘܢ,350.0,1994.0,1644.0,594
ܐܓܘܢܐ,350.0,1994.0,1644.0,2314
ܐܓܘܢܝܣܐ,675.0,950.0,275.0,4
ܐܓܘܢܝܣܛܐ,500.0,2007.0,1507.0,35
ܐܓܘܪ,350.0,1245.0,895.0,29
ܐܓܘܪܐ,500.0,1994.0,1494.0,10
ܐܓܘܪܣܐ,325.0,1250.0,925.0,137
ܐܓܛܘܣ,950.0,950.0,0.0,1
ܐܓܝܐ,575.0,1800.0,1225.0,7
ܐܓܝܘܛܛܘܣ,950.0,950.0,0.0,1
ܐܓܝܘܢ,675.0,675.0,0.0,1
ܐܓܝܘܢܘܛܝܣ,950.0,950.0,0.0,1
ܐܓܝܘܣ,450.0,1500.0,1050.0,12
ܐܓܝܘܦܢܘܡܐ,1500.0,1500.0,0.0,1
ܐܓܝܦܛܘܣ,560.0,846.0,286.0,30
ܐܓܝܦܛܝܐ,500.0,775.0,275.0,6
ܐܓܠܘܟܘܢ,950.0,950.0,0.0,1
ܐܓܠܘܣ,950.0,950.0,0.0,1
ܐܓܠܘܦܘܛܝܣ,950.0,950.0,0.0,1
ܐܓܡܘܢܐ,1150.0,1150.0,0.0,4
ܐܓܡܡܢܘܢ,500.0,850.0,350.0,3
ܐܓܡܢܘܬܐ,1150.0,1150.0,0.0,2
ܐܓܢܘܣ,950.0,950.0,0.0,1
ܐܓܢܛܘܢ,950.0,950.0,0.0,1
ܐܓܦܐ,675.0,950.0,275.0,6
ܐܓܪܘܣܛܝܣ,950.0,950.0,0.0,1
ܐܓܪܘܦܘܣ,550.0,846.0,296.0,6
ܐܓܪܝܘܣ,950.0,950.0,0.0,4
ܐܓܬܘܣ,950.0,950.0,0.0,1
ܐܕܗܢܣ,950.0,950.0,0.0,1
ܐܕܘܢܐܘܣ,650.0,650.0,0.0,1
ܐܕܘܣܘܣ,375.0,375.0,0.0,1
ܐܕܝܐ,701.0,1957.0,1256.0,9
ܐܕܝܐܢܛܘܢ,1250.0,1250.0,0.0,2
ܐܕܝܘܢ,950.0,950.0,0.0,1
ܐܕܝܠܘܢ,950.0,950.0,0.0,1
ܐܕܝܢ,450.0,1300.0,850.0,23
ܐܕܝܣ,675.0,950.0,275.0,4
ܐܕܝܩܘܢ,950.0,950.0,0.0,1
ܐܕܝܩܘܣ,950.0,950.0,0.0,1
ܐܕܝܩܝܐ,950.0,950.0,0.0,1
ܐܕܡܢܛܝܢܘܣ,625.0,625.0,0.0,2
ܐܕܪܘܐܓܝܘܢ,950.0,950.0,0.0,1
ܐܕܪܘܛܘܣ,950.0,950.0,0.0,1
ܐܕܪܘܡܝܠܘܢ,950.0,950.0,0.0,1
ܐܕܪܝܐܢܘܣ,675.0,1150.0,475.0,5
ܐܕܪܝܐܣ,950.0,950.0,0.0,1
ܐܕܪܝܘܢ,950.0,950.0,0.0,2
ܐܕܪܝܘܣ,950.0,1250.0,300.0,8
ܐܕܪܝܢܘܣ,525.0,1693.0,1168.0,28
ܐܕܪܝܢܛܐ,550.0,1907.0,1357.0,59
ܐܕܪܡܘܣ,950.0,950.0,0.0,1
ܐܕܪܩܝ,950.0,950.0,0.0,1
ܐܕܫܐ,350.0,2007.0,1657.0,1361
ܐܗܐ,400.0,1957.0,1557.0,118
ܐܗܕܘܢ,450.0,950.0,500.0,5
ܐܘܐ,675.0,675.0,0.0,1
ܐܘܐܓܪܝܣ,525.0,825.0,300.0,5
ܐܘܐܘܝܘ,950.0,950.0,0.0,1
ܐܘܐܘܢ,950.0,950.0,0.0,2
ܐܘܐܘܣܩܘܐܡܘܣ,950.0,950.0,0.0,1
ܐܘܐܝܘܟܝ,950.0,950.0,0.0,1
ܐܘܐܝܘܡܝ,950.0,950.0,0.0,1
ܐܘܐܝܘܣ,950.0,950.0,0.0,2
ܐܘܐܝܩܘܢ,950.0,950.0,0.0,1
ܐܘܐܝܩܛܗܐܝܪܡܘܣ,950.0,950.0,0.0,1
ܐܘܐܝܩܝܘܡܗܢܝ,950.0,950.0,0.0,1
ܐܘܐܣܝܣ,350.0,350.0,0.0,1
ܐܘܐܩܝܢܬܘܣ,950.0,950.0,0.0,2
ܐܘܒܐ,500.0,500.0,0.0,2
ܐܘܒܘܐܐ,724.0,724.0,0.0,1
ܐܘܒܘܠܘܢ,950.0,950.0,0.0,2
ܐܘܒܠܘ,325.0,1907.0,1582.0,290
ܐܘܓܝܢ,500.0,2006.0,1506.0,374
ܐܘܓܢܝܐ,500.0,950.0,450.0,108
ܐܘܓܪܘܩܘܠܠܘܪܝܐ,950.0,950.0,0.0,1
ܐܘܓܪܝܣ,430.0,2006.0,1576.0,308
ܐܘܕܐܣܝܣ,950.0,950.0,0.0,1
ܐܘܕܗܛܗܪܐ,950.0,950.0,0.0,1
ܐܘܕܘܝܛܝܐ,950.0,950.0,0.0,1
ܐܘܕܘܣ,519.0,1234.0,715.0,22
ܐܘܕܘܪ,575.0,1234.0,659.0,13
ܐܘܕܝܘܢ,675.0,950.0,275.0,2
ܐܘܕܝܘܣ,950.0,1150.0,200.0,3
ܐܘܕܝܡܐ,950.0,950.0,0.0,3
ܐܘܕܝܢܗܣ,950.0,950.0,0.0,1
ܐܘܕܝܣ,775.0,1994.0,1219.0,4
ܐܘܕܝܦܘܣ,950.0,950.0,0.0,1
ܐܘܕܢܐ,575.0,1250.0,675.0,14
ܐܘܕܣ,550.0,1234.0,684.0,22
ܐܘܕܪܐ,846.0,950.0,104.0,2
ܐܘܕܪܘܓܐܪܘܢ,950.0,950.0,0.0,1
ܐܘܕܪܘܡܗܠܘܢ,950.0,950.0,0.0,1
ܐܘܕܪܘܦܝܩܝܪܝ,950.0,950.0,0.0,1
ܐܘܕܪܝܠܘܢ,950.0,950.0,0.0,1
ܐܘܕܪܝܢܘܣ,525.0,525.0,0.0,2
ܐܘܗ,350.0,1907.0,1557.0,42
ܐܘܘܢ,350.0,1250.0,900.0,226
ܐܘܙܠܝܣ,775.0,775.0,0.0,2
ܐܘܙܡܢ,2006.0,2006.0,0.0,3
ܐܘܛܘܒܪܘܕܝܘܣ,950.0,950.0,0.0,1
ܐܘܛܘܟ,500.0,1250.0,750.0,61
ܐܘܛܘܟܘܣ,675.0,1150.0,475.0,4
ܐܘܛܘܠܡܘܣ,675.0,675.0,0.0,1
