,Column1,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
0,30119,"{'id': 32994, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32994.json'}",ܐܐ,{'Latin': ['sine']},{'Greek': [None]},,"[{'id': 59368, 'uri': 'https://sedra.bethmardutho.org/api/word/59368.json'}]",noun,,Greek,None]}
1,18627,"{'id': 20207, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20207.json'}",ܐܐܕܝܣ,{'Greek': ['ἀηδής']},{'Greek': ['ἀηδής']},,"[{'id': 46581, 'uri': 'https://sedra.bethmardutho.org/api/word/46581.json'}]",noun,,Greek,ἀηδής
2,18628,"{'id': 20208, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20208.json'}",ܐܐܗܪܘܣ,{'Greek': ['ἱερός']},{'Greek': ['ἱερός']},,"[{'id': 46582, 'uri': 'https://sedra.bethmardutho.org/api/word/46582.json'}]",noun,,Greek,ἱερός
3,15241,"{'id': 16538, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16538.json'}",ܐܐܘܕܣܐ,{'English': ['the Oasis of Egypt']},{'Greek': ['Ὄασις']},,"[{'id': 42912, 'uri': 'https://sedra.bethmardutho.org/api/word/42912.json'}]",noun,,Greek,Ὄασις
4,18629,"{'id': 20209, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20209.json'}",ܐܐܘܠܘܣ,{'Greek': ['αἰόλος']},{'Greek': ['αἰόλος']},,"[{'id': 46583, 'uri': 'https://sedra.bethmardutho.org/api/word/46583.json'}]",noun,,Greek,αἰόλος
5,18630,"{'id': 20210, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20210.json'}",ܐܐܘܠܝܣ,{'Greek': ['Αἰολίς']},{'Greek': ['Αἰολίς']},,"[{'id': 46584, 'uri': 'https://sedra.bethmardutho.org/api/word/46584.json'}, {'id': 48181, 'uri': 'https://sedra.bethmardutho.org/api/word/48181.json'}]",noun,,Greek,Αἰολίς
6,18631,"{'id': 20211, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20211.json'}",ܐܐܘܪܘܣ,{'Greek': ['ἄωρος']},{'Greek': ['ἄωρος']},,"[{'id': 46585, 'uri': 'https://sedra.bethmardutho.org/api/word/46585.json'}]",noun,,Greek,ἄωρος
7,18632,"{'id': 20212, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20212.json'}",ܐܐܘܪܛܘܣ,{'Greek': ['ἀόρατος']},{'Greek': ['ἀόρατος']},,"[{'id': 48179, 'uri': 'https://sedra.bethmardutho.org/api/word/48179.json'}, {'id': 46586, 'uri': 'https://sedra.bethmardutho.org/api/word/46586.json'}]",noun,,Greek,ἀόρατος
8,15242,"{'id': 16539, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16539.json'}",ܐܐܘܪܛܣܛܝܩܐ,{'English': ['pachal presents']},{'Greek': ['ἑορταστικός']},,"[{'id': 42913, 'uri': 'https://sedra.bethmardutho.org/api/word/42913.json'}]",noun,,Greek,ἑορταστικός
9,18633,"{'id': 20213, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20213.json'}",ܐܐܘܪܝܐ,"{'Latin': ['immaturitas', 'intempestivitas'], 'Greek': ['ἀωρία']}",{'Greek': ['ἀωρία']},,"[{'id': 46587, 'uri': 'https://sedra.bethmardutho.org/api/word/46587.json'}, {'id': 48180, 'uri': 'https://sedra.bethmardutho.org/api/word/48180.json'}]",noun,,Greek,ἀωρία
10,18634,"{'id': 20214, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20214.json'}",ܐܐܛܘܣ,{'Greek': ['ἀετός']},{'Greek': ['ἀετός']},,"[{'id': 46588, 'uri': 'https://sedra.bethmardutho.org/api/word/46588.json'}, {'id': 48184, 'uri': 'https://sedra.bethmardutho.org/api/word/48184.json'}]",noun,,Greek,ἀετός
11,18636,"{'id': 20216, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20216.json'}",ܐܐܛܝܘܣ,{'Greek': ['Ἀέτιος']},{'Greek': ['Ἀέτιος']},,"[{'id': 48182, 'uri': 'https://sedra.bethmardutho.org/api/word/48182.json'}, {'id': 46590, 'uri': 'https://sedra.bethmardutho.org/api/word/46590.json'}]",noun,,Greek,Ἀέτιος
12,18637,"{'id': 20217, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20217.json'}",ܐܐܛܝܢܐ,{'Greek': ['Ἀετιανοί']},{'Greek': ['Ἀετιανοί']},,"[{'id': 46591, 'uri': 'https://sedra.bethmardutho.org/api/word/46591.json'}]",noun,,Greek,Ἀετιανοί
13,18635,"{'id': 20215, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20215.json'}",ܐܐܛܝܣ,{'Greek': ['αἰετόεις']},{'Greek': ['αἰετόεις']},,"[{'id': 46589, 'uri': 'https://sedra.bethmardutho.org/api/word/46589.json'}, {'id': 48183, 'uri': 'https://sedra.bethmardutho.org/api/word/48183.json'}]",adjective,,Greek,αἰετόεις
15,18639,"{'id': 20219, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20219.json'}",ܐܐܝ,{'Greek': ['ἀεί']},{'Greek': ['ἀεί']},,"[{'id': 46593, 'uri': 'https://sedra.bethmardutho.org/api/word/46593.json'}]",adverb,,Greek,ἀεί
16,18640,"{'id': 20226, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20226.json'}",ܐܐܝܕܘܢ,{'Greek': ['ὁ ἰδών']},"{'Greek': ['ὁ ἰδών', 'ὁρῶ']}",,"[{'id': 46600, 'uri': 'https://sedra.bethmardutho.org/api/word/46600.json'}]",particle,,Greek,"ὁ ἰδών, ὁρῶ"
18,18641,"{'id': 20227, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20227.json'}",ܐܐܝܕܝܣ,{'Latin': ['ἀειδής']},{'Greek': ['ἀειδής']},,"[{'id': 46601, 'uri': 'https://sedra.bethmardutho.org/api/word/46601.json'}]",adjective,,Greek,ἀειδής
19,18642,"{'id': 20228, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20228.json'}",ܐܐܝܘܣ,[],{'Greek': ['ἅγιος']},,"[{'id': 46602, 'uri': 'https://sedra.bethmardutho.org/api/word/46602.json'}, {'id': 48189, 'uri': 'https://sedra.bethmardutho.org/api/word/48189.json'}]",adjective,,Greek,ἅγιος
20,18643,"{'id': 20229, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20229.json'}",ܐܐܝܙܘܐܘܢ,{'Greek': ['ἀείζωον']},{'Greek': ['ἀείζωον']},,"[{'id': 46603, 'uri': 'https://sedra.bethmardutho.org/api/word/46603.json'}, {'id': 48185, 'uri': 'https://sedra.bethmardutho.org/api/word/48185.json'}]",noun,,Greek,ἀείζωον
21,17529,"{'id': 18999, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/18999.json'}",ܐܐܝܛܝܘܣ,{'English': ['Aetius: an archdeacon of Constantinople']},{'Greek': ['Ἀέτιος']},,"[{'id': 45373, 'uri': 'https://sedra.bethmardutho.org/api/word/45373.json'}]",noun,,Greek,Ἀέτιος
22,18644,"{'id': 20230, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20230.json'}",ܐܐܝܪ,{'Greek': ['ἀήρ']},{'Greek': ['ἀήρ']},,"[{'id': 46604, 'uri': 'https://sedra.bethmardutho.org/api/word/46604.json'}]",noun,,Greek,ἀήρ
23,18650,"{'id': 20236, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20236.json'}",ܐܐܝܪܐ,"{'English': ['hammer'], 'Latin': ['folium temulentum'], 'Greek': ['αἶρα']}",{'Greek': ['αἶρα']},,"[{'id': 46610, 'uri': 'https://sedra.bethmardutho.org/api/word/46610.json'}, {'id': 48193, 'uri': 'https://sedra.bethmardutho.org/api/word/48193.json'}]",noun,,Greek,αἶρα
24,18651,"{'id': 20237, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20237.json'}",ܐܐܣ,"{'English': ['Ajax'], 'Latin': ['Ajax'], 'Greek': ['Αἴας']}",{'Greek': ['Αἴας']},,"[{'id': 46611, 'uri': 'https://sedra.bethmardutho.org/api/word/46611.json'}]",noun,,Greek,Αἴας
25,0,"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/1.json'}",ܐܐܪ,"{'Arabic': ['هواء', 'هيئة'], 'French': ['air', 'aspect'], 'English': ['air', 'air\u200f.']}",{'Greek': ['ἀήρ']},"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/root/1.json'}","[{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/word/1.json'}, {'id': 42245, 'uri': 'https://sedra.bethmardutho.org/api/word/42245.json'}, {'id': 2, 'uri': 'https://sedra.bethmardutho.org/api/word/2.json'}, {'id': 3, 'uri': 'https://sedra.bethmardutho.org/api/word/3.json'}, {'id': 4, 'uri': 'https://sedra.bethmardutho.org/api/word/4.json'}, {'id': 5, 'uri': 'https://sedra.bethmardutho.org/api/word/5.json'}]",noun,,Greek,ἀήρ
26,18652,"{'id': 20238, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20238.json'}",ܐܐܪܐ,"{'English': ['misty'], 'Latin': ['aerius'], 'Greek': ['ἀέριος']}",{'Greek': ['ἀέριος']},,"[{'id': 46612, 'uri': 'https://sedra.bethmardutho.org/api/word/46612.json'}]",adjective,,Greek,ἀέριος
27,18653,"{'id': 20239, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20239.json'}",ܐܐܪܐܝܐ,"{'English': ['misty'], 'Latin': ['aerius'], 'Greek': ['ἀέριος']}",{'Greek': ['ἀέριος']},,"[{'id': 46613, 'uri': 'https://sedra.bethmardutho.org/api/word/46613.json'}]",adjective,,Greek,ἀέριος
28,30240,"{'id': 33119, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/33119.json'}",ܐܐܪܐܣܝܣ,{'English': ['gift']},{'Greek': ['αἵρεσις']},,"[{'id': 59493, 'uri': 'https://sedra.bethmardutho.org/api/word/59493.json'}]",noun,,Greek,αἵρεσις
29,18654,"{'id': 20240, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20240.json'}",ܐܐܪܓܘܣ,"{'English': ['idle'], 'Latin': ['otiosus, iners'], 'Greek': ['ἀεργός']}",{'Greek': ['ἀεργός']},,"[{'id': 46614, 'uri': 'https://sedra.bethmardutho.org/api/word/46614.json'}]",adjective,,Greek,ἀεργός
30,18655,"{'id': 20241, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20241.json'}",ܐܐܪܘܢ,"{'Latin': ['arum'], 'Greek': ['ἄρον']}",{'Greek': ['ἄρον']},,"[{'id': 46615, 'uri': 'https://sedra.bethmardutho.org/api/word/46615.json'}]",noun,,Greek,ἄρον
31,18656,"{'id': 20242, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20242.json'}",ܐܐܪܛܘ,"{'Latin': ['suspensus est'], 'Greek': ['ἄορτο']}",{'Greek': ['ἀείλω']},,"[{'id': 46616, 'uri': 'https://sedra.bethmardutho.org/api/word/46616.json'}]",verb,,Greek,ἀείλω
